Tyrese Campbell
Tom Edwards
Kayne Ramsey
Eddie Nketiah
Connor Roberts
Tahith Chong
Max Kilman
Lasse Sørensen
Izzy Brown
Jean Seri
Callum Slattery
Grady Diangana
Angel Gomes
Lukas Nmecha
Michael Obafemi
Bukayo Saka
Luke Amos
Mason Greenwood
João Moutinho
Mark Travers
Luke Dreher
Rekeem Harper
Danny Williams
Harvey Barnes
Denis Suárez
Dwight McNeil
Aaron Rowe
Matty Daly
Jesé
Sandro Ramírez
Rafael Camacho
Gonzalo Higuaín
Antonio Barreca
Wilfred Ndidi
Youri Tielemans
Jonas Lössl
Harvey Elliot
Ryan Babel
James Garner
Kostas Stafylidis
Oliver Skipp
Levi Lumeka
João Mário
Tyreke Johnson
Miguel Almirón
Demeaco Duhaney
Callum Hudson-Odoi
Ben Watson
Rachid Ghezzal
Karlan Grant
Patrice Evra
Jorginho
Jeremie Boga
